emp_no,first_name,last_name,title,hire_date,years
10138,Perry,Shimshoni,Senior Engineer,1986-09-18,36
10150,Zhenbing,Perng,Senior Engineer,1986-11-16,36
10153,Heekeun,Majewski,Assistant Engineer,1987-04-08,35
10157,Nigel,Aloisi,Senior Engineer,1985-11-02,37
10159,Serif,Buescher,Senior Engineer,1991-05-29,31
10160,Debatosh,Khasidashvili,Senior Staff,1989-01-30,33
10163,Karsten,Szmurlo,Senior Staff,1989-07-19,33
10166,Samphel,Siegrist,Engineer,1993-01-01,29
10183,Mechthild,Bonifati,Staff,1996-08-11,26
10194,Josyula,Hofmeyr,Senior Staff,1989-05-15,33
10196,Marc,Hellwagner,Staff,1994-11-16,28
10198,Pranav,Furedi,Senior Engineer,1985-08-31,37
10203,Steen,Escriba,Senior Staff,1989-04-06,33
10205,Mabhin,Leijenhorst,Senior Engineer,1993-08-23,29
10207,Girolamo,Anandan,Senior Engineer,1992-10-11,30
10215,Xiaobin,Duclos,Senior Staff,1987-10-19,35
10219,Genta,Kolvik,Senior Staff,1993-03-31,29
10224,Leon,Trogemann,Senior Engineer,1988-01-09,34
10228,Karoline,Cesareni,Senior Staff,1991-08-26,31
10230,Clyde,Vernadat,Senior Staff,1996-06-16,26
10233,Lein,Vendrig,Senior Staff,1985-07-05,37
10239,Nikolaos,Llado,Staff,1995-05-08,27
10240,Remko,Maccarone,Engineer,1998-10-06,24
10248,Frederique,Tempesti,Senior Staff,1991-08-13,31
10249,Marie,Boreale,Senior Engineer,1991-12-08,31
10258,Basil,Ishibashi,Senior Engineer,1985-05-17,37
10262,Mahendra,Maraist,Staff,1992-07-27,30
10272,Yishai,Cannane,Staff,1988-05-23,34
10281,Moty,Kusakari,Senior Engineer,1994-12-03,28
10282,Hercules,Benzmuller,Engineer,1986-06-04,36
10283,Kauko,Birjandi,Senior Engineer,1988-05-25,34
10284,Masali,Murrill,Engineer,1997-07-02,25
10295,Kristine,Velardi,Senior Staff,1990-08-27,32
10298,Dietrich,DuCasse,Staff,1999-03-30,23
10306,Heng,Kilgour,Staff,1993-09-06,29
10307,Nikolaos,Leaver,Engineer,1991-04-10,31
10322,Isamu,Dahlbom,Senior Engineer,1990-01-29,32
10325,Arunachalam,Badr,Senior Staff,1990-09-20,32
10326,Masali,Czap,Staff,1985-05-13,37
10328,Serenella,Kawashima,Engineer,1994-01-16,28
10333,Snehasis,Dymetman,Senior Engineer,1993-01-16,29
10340,Djelloul,Laventhal,Senior Staff,1987-06-05,35
10343,Dinah,Syrzycki,Senior Engineer,1993-10-14,29
10347,Pradeep,Kaminger,Staff,1985-12-12,37
10349,Oksana,Brodie,Senior Staff,1991-09-28,31
10353,Phule,Hammerschmidt,Senior Staff,1989-08-24,33
10355,Satyanarayana,Cochrane,Staff,1987-11-15,35
10356,Vasilis,Standera,Senior Staff,1988-08-06,34
10358,Qunsheng,Tagansky,Technique Leader,1991-02-19,31
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,37
10367,Hyuckchul,Gini,Senior Staff,1991-06-24,31
10372,Anneli,Frijda,Technique Leader,1985-07-30,37
10377,Marl,Grospietsch,Senior Engineer,1990-05-07,32
10387,Parto,Wrigley,Senior Staff,1987-02-19,35
10388,Hironoby,Kaiser,Staff,1996-03-24,26
10389,Make,Peir,Technique Leader,1995-10-31,27
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,36
10397,Irena,Reutenauer,Technique Leader,1993-05-21,29
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,35
10404,Prodip,Rosti,Senior Engineer,1988-08-28,34
10407,Ulf,Siepmann,Senior Staff,1990-03-08,32
10413,Danel,Impagliazzo,Senior Staff,1990-03-26,32
10418,Candida,Porotnikoff,Staff,1989-04-20,33
10422,Greger,Rubsam,Engineer,1990-12-07,32
10426,Arunas,Luce,Technique Leader,1985-07-06,37
10429,Martien,Improta,Senior Engineer,1986-03-09,36
10432,Hisao,Tiemann,Senior Staff,1985-04-30,37
10433,Reuven,Dengi,Engineer,1989-02-14,33
10451,Bodh,Ranta,Senior Engineer,1988-03-12,34
10453,Tsvetan,Matzel,Senior Staff,1985-04-02,37
10463,Ung,Zaiane,Staff,1987-12-25,35
10477,Guoxiang,Trogemann,Senior Engineer,1989-03-04,33
10486,Amstein,Kossowski,Senior Engineer,1987-10-08,35
10494,Yakkov,Servieres,Senior Engineer,1986-01-18,36
10497,Pramod,Rabehasaina,Senior Engineer,1992-01-22,30
10499,Maik,Luft,Senior Staff,1989-11-23,33
10503,Dannz,Pell,Engineer,1991-04-30,31
10504,Xiong,Varker,Staff,1988-12-03,34
10509,Abdelwaheb,Riesenhuber,Senior Staff,1990-02-23,32
10512,Udi,Gihr,Senior Staff,1986-01-12,36
10517,Tiina,Speek,Senior Staff,1990-12-25,32
10522,Marke,Cesareni,Senior Staff,1986-12-12,36
10529,Ymte,Yetto,Assistant Engineer,1992-01-05,30
10531,Oguz,Gimbel,Staff,1991-02-20,31
10542,Yannis,Couchot,Senior Engineer,1989-03-28,33
10548,Ramalingam,Gunderson,Senior Staff,1986-05-04,36
10552,Kazuhito,Shiratori,Senior Engineer,1998-08-18,24
10564,Jianhao,Thisen,Senior Engineer,1986-05-08,36
10568,Gao,Poulakidas,Staff,1989-02-14,33
10586,Kirk,Vuskovic,Senior Engineer,1992-02-04,30
10593,Falguni,Kenevan,Senior Engineer,1990-09-12,32
10596,Sanjit,Coors,Senior Staff,1995-04-01,27
10603,Wayne,Restivo,Staff,1995-07-20,27
10610,Irena,Roccetti,Engineer,1996-04-11,26
10614,Gila,Ozeri,Senior Engineer,1990-03-03,32
10615,Keung,Delgrande,Senior Staff,1996-03-10,26
10623,Aleksander,Danlos,Senior Engineer,1987-03-07,35
10624,Sham,Gyorkos,Technique Leader,1990-05-07,32
10628,Krisda,Krogh,Senior Engineer,1985-09-11,37
10630,Bezalel,Katzenelson,Engineer,1993-06-26,29
10631,Inderjeet,Chaudhuri,Engineer,1988-02-16,34
10634,Nahid,Chepyzhov,Senior Engineer,1990-11-11,32
10636,Saeko,Porotnikoff,Staff,1994-11-16,28
10639,Pramod,Erol,Senior Engineer,1992-10-25,30
10641,Guozhong,Zucker,Engineer,1993-03-21,29
10642,Hirochika,Narlikar,Engineer,1986-08-06,36
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,35
10667,Makato,Cusworth,Senior Staff,1990-06-25,32
10671,Parviz,Rebaine,Senior Staff,1987-01-08,35
10676,Valeri,Danley,Engineer,1986-03-20,36
10683,Guiseppe,Stranks,Senior Engineer,1993-09-07,29
10693,Berhard,Daescu,Senior Staff,1986-01-08,36
10696,Unal,Fendler,Technique Leader,1991-09-09,31
10702,Bader,Szemeredi,Senior Engineer,1985-07-23,37
10712,Uma,Koprowski,Senior Engineer,1994-08-18,28
10718,Adib,Rullman,Senior Engineer,1988-07-21,34
10726,Zita,Minakawa,Senior Engineer,1985-09-01,37
10734,Sachar,Erdi,Engineer,1985-04-03,37
10741,Sven,Huttel,Senior Staff,1989-01-06,33
10742,Shim,Wiegley,Technique Leader,1991-01-03,31
10745,Poorav,Ranze,Senior Engineer,1987-05-26,35
10749,King,Brendel,Senior Engineer,1985-09-26,37
10750,Roddy,Demeyer,Technique Leader,1991-08-04,31
10764,Yunming,Beetstra,Senior Engineer,1989-11-27,33
10767,Monique,Doering,Staff,1987-06-17,35
10768,Ishfaq,Candan,Senior Engineer,1985-07-04,37
10778,Selwyn,Merey,Senior Staff,1986-07-04,36
10791,Tadahiko,Sgarro,Senior Engineer,1988-07-30,34
10795,Supot,Naudin,Senior Staff,1985-05-21,37
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,35
10811,Ashish,Fortenbacher,Engineer,1997-07-08,25
10813,Shalesh,Shumilov,Senior Staff,1990-04-27,32
10814,Nidapan,Dymetman,Senior Staff,1993-07-17,29
10826,Arnd,Anandan,Senior Engineer,1993-01-22,29
10827,Willard,Danley,Staff,1996-11-07,26
10830,Fen,Fiebach,Senior Staff,1991-08-24,31
10831,Toong,Driscoll,Technique Leader,1996-06-21,26
10833,Krisda,Gecseg,Technique Leader,1989-02-08,33
10834,Huiqun,Rajcani,Engineer,1990-11-24,32
10835,Tomoyuki,Kermarrec,Engineer,1985-07-28,37
10836,Jianhua,Leivant,Senior Staff,1985-07-26,37
10844,Dipayan,Koprowski,Engineer,1987-03-03,35
10846,Tokuyasu,Serre,Senior Engineer,1994-01-26,28
10847,Theirry,Danley,Senior Staff,1986-07-25,36
10848,Fen,Bratsberg,Senior Engineer,1985-04-20,37
10849,Makato,Mayerwieser,Engineer,1995-06-25,27
10854,Jagoda,Nannarelli,Engineer,1998-07-13,24
10858,Kenroku,Gonthier,Senior Engineer,1996-08-15,26
10871,Aram,Gilg,Staff,1989-02-15,33
10872,Karoline,Speel,Senior Staff,1990-09-06,32
10873,Sukumar,Wegerle,Staff,1994-03-23,28
10878,Lakshmi,Deville,Staff,1988-02-25,34
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,37
10882,Fun,Heuser,Engineer,1994-11-29,28
10883,Shimshon,Champarnaud,Engineer,1987-11-07,35
10885,Rayond,Cronau,Senior Staff,1991-08-19,31
10887,Lunjin,DeMori,Senior Engineer,1989-03-16,33
10900,Ferdinand,Prenel,Senior Engineer,1995-09-07,27
10906,Munehiro,Carrere,Staff,1994-01-20,28
10909,Georgi,Atchley,Senior Engineer,1985-04-21,37
10913,Narain,Thummel,Staff,1992-06-25,30
10920,Ronghao,Narahara,Senior Staff,1991-07-09,31
10921,Mara,Bahi,Senior Engineer,1986-07-27,36
10924,Hironoby,Atchley,Senior Staff,1988-08-14,34
10926,Leni,Eppinger,Senior Engineer,1990-04-30,32
10927,Gal,Scallan,Senior Staff,1985-10-26,37
10930,Arch,Minakawa,Senior Engineer,1990-08-09,32
10932,Avishai,Picci,Senior Engineer,1994-09-09,28
10936,Mountaz,Schicker,Senior Staff,1987-10-27,35
10942,Toshimitsu,Larfeldt,Engineer,1989-09-08,33
10943,Berna,Skafidas,Senior Engineer,1988-02-19,34
10944,Remko,Zyda,Senior Engineer,1991-05-24,31
10947,Gor,Usery,Senior Staff,1995-11-16,27
10949,Shigeichiro,Wroclawski,Senior Staff,1990-03-13,32
10956,Arno,Picel,Engineer,1992-06-29,30
10965,Eckart,Braunschweig,Senior Staff,1986-07-29,36
10969,Premal,Noriega,Senior Engineer,1988-08-22,34
10974,Muneo,Papsdorf,Senior Engineer,1985-11-25,37
10986,Masako,Schiper,Technique Leader,1985-10-11,37
10987,Flemming,Baezner,Engineer,1995-12-19,27
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,37
10989,Sumali,Candan,Senior Staff,1985-07-20,37
10990,Shin,Foote,Technique Leader,1988-07-06,34
10996,Matk,Rahimi,Senior Staff,1990-02-07,32
11004,JoAnna,Decleir,Senior Engineer,1992-01-19,30
11009,Alper,Axelband,Senior Staff,1986-09-09,36
11012,Taegyun,Speckmann,Staff,1986-12-28,36
11019,Leon,Huttel,Senior Engineer,1985-02-04,37
11021,Srinidhi,Henders,Staff,1985-05-24,37
11027,Remzi,Cappello,Senior Engineer,1986-05-07,36
11031,Ottavia,Walstra,Senior Staff,1985-04-26,37
11032,Erez,Schaaf,Staff,1992-03-12,30
11037,Lansing,Maliniak,Senior Engineer,1988-01-28,34
11038,Jinya,Beidas,Senior Staff,1985-07-15,37
11042,Gou,Breugel,Senior Engineer,1988-06-26,34
11048,Jaques,Demke,Senior Staff,1985-02-26,37
11050,Elvis,Katiyar,Senior Staff,1986-05-06,36
11051,Przemyslawa,Erol,Senior Engineer,1985-08-09,37
11056,Palash,Speel,Staff,1992-08-19,30
11061,Pintsang,Erni,Senior Staff,1993-02-19,29
11064,Shawna,Vieri,Senior Engineer,1990-02-28,32
11066,Shaz,Langford,Senior Staff,1995-10-04,27
11070,Adib,Raney,Senior Engineer,1985-07-24,37
11071,Kwan,Sigstam,Senior Engineer,1992-05-23,30
11075,Karsten,Belinskaya,Senior Engineer,1996-10-29,26
11079,Piyush,Garigliano,Senior Engineer,1993-10-09,29
11081,Barry,Boyle,Senior Staff,1985-06-17,37
11083,Shimshon,Ducloy,Senior Staff,1989-11-27,33
11084,Greger,Senzako,Senior Engineer,1990-05-31,32
11085,Hailing,Thummel,Senior Engineer,1986-11-27,36
11087,Changho,Jayawardene,Senior Engineer,1994-10-10,28
11089,Conal,Henders,Senior Staff,1994-08-13,28
11091,Souichi,Ramsay,Engineer,1992-01-21,30
11092,Narain,Stamatiou,Staff,1992-03-30,30
11098,Arnd,Covnot,Engineer,1990-04-02,32
11100,Berna,Cochrane,Senior Staff,1986-10-13,36
11106,Aris,Iwayama,Senior Engineer,1985-08-31,37
11111,Udi,Zastre,Assistant Engineer,1994-12-25,28
11112,Boaz,Mukaidono,Staff,1987-08-20,35
11113,Shahab,Peng,Senior Staff,1985-11-30,37
11121,Vugranam,Kakkad,Senior Engineer,1987-02-21,35
11130,Xinyu,Menhoudj,Senior Staff,1993-06-07,29
11132,Kristin,Harnett,Senior Engineer,1994-08-30,28
11133,Nalini,Azulay,Technique Leader,1988-02-04,34
11134,Sachar,Rajcani,Senior Engineer,1988-05-26,34
11137,Hugh,Luca,Engineer,1986-07-31,36
11139,Bogdan,Homond,Senior Staff,1985-12-24,37
11143,Yongdong,Rosen,Engineer,1996-05-09,26
11144,Carrsten,Heinisuo,Senior Staff,1993-11-18,29
11146,Ishfaq,Masand,Senior Staff,1988-03-21,34
11147,Ayonca,Nitsch,Engineer,1992-01-28,30
11148,Zhanqiu,Botman,Senior Staff,1985-07-06,37
11158,Masaki,Hagimont,Senior Engineer,1996-04-20,26
11162,Kauko,Narlikar,Senior Engineer,1985-03-28,37
11168,Shmuel,Tetzlaff,Senior Staff,1996-07-15,26
11170,Minghong,Cannard,Senior Engineer,1989-12-29,33
11174,Akhilish,Milicia,Engineer,1996-05-24,26
11177,Chrisa,dAstous,Senior Engineer,1998-04-05,24
11180,Mitsuyuki,Bojadziev,Senior Engineer,1986-06-11,36
11181,Hausi,Cullers,Engineer,1992-07-11,30
11185,Aloys,Baezner,Senior Staff,1995-01-26,27
11186,Kshitij,Stasinski,Senior Engineer,1994-12-10,28
11189,Dante,Bodoff,Senior Staff,1991-09-07,31
11192,Apostol,Bahr,Engineer,1991-09-30,31
11197,Tadahiro,Fordan,Senior Staff,1986-04-13,36
11201,Jouko,Masaki,Staff,1995-10-31,27
11204,Diederik,Covnot,Technique Leader,1985-09-18,37
11207,Saeed,Gips,Engineer,1987-11-09,35
11208,Saniya,Valtorta,Technique Leader,1988-08-26,34
11211,Yurij,Rissland,Senior Engineer,1985-09-17,37
11213,Vugranam,Munoz,Technique Leader,1998-06-17,24
11217,Kellie,Mawatari,Senior Engineer,1987-09-22,35
11229,Gretta,Ramamoorthy,Senior Engineer,1991-07-26,31
11232,Hidefumi,Crelier,Senior Staff,1988-02-02,34
11233,Sanjit,Waschkowski,Senior Engineer,1991-06-17,31
11240,Kiam,Condotta,Engineer,1988-11-11,34
11243,Udi,Desikan,Assistant Engineer,1994-12-08,28
11249,Randi,Cyre,Engineer,1985-08-29,37
11251,Bezalel,Chinal,Senior Staff,1985-11-26,37
11253,Koldo,Pokrovskii,Senior Engineer,1992-05-22,30
11254,Danel,Rindone,Staff,1998-12-19,24
11258,Aris,Maccarone,Senior Staff,1991-03-28,31
11266,Florina,Rohrbach,Senior Engineer,1995-04-04,27
11267,Shaunak,Zaumen,Senior Engineer,1989-06-14,33
11268,Aimee,Petersohn,Senior Engineer,1985-05-17,37
11274,Masanao,Nicolson,Staff,1989-10-08,33
11275,Hitomi,Eppinger,Senior Engineer,1987-05-26,35
11289,Chuanti,Cherinka,Senior Engineer,1989-02-22,33
11290,Visit,Dredge,Engineer,1985-09-08,37
11292,Souichi,Sichman,Senior Engineer,1989-02-11,33
11294,Tru,Segond,Senior Engineer,1989-06-13,33
11295,Abdelkader,Lanzelotte,Senior Staff,1985-05-15,37
11296,Hironobu,Kenevan,Senior Engineer,1989-09-26,33
11301,Mingzeng,Oxenboll,Senior Staff,1989-05-23,33
11317,Shigeaki,Hagimont,Senior Staff,1989-12-21,33
11319,Pranas,Marrakchi,Assistant Engineer,1986-10-03,36
11320,Atilio,McAlpine,Senior Staff,1987-11-24,35
11322,Nathalie,Pocchiola,Senior Engineer,1985-02-08,37
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,37
11325,Samphel,Rossi,Engineer,1999-01-10,23
11326,Munenori,Plesums,Senior Engineer,1990-02-19,32
11338,Kwangsub,Hanratty,Senior Staff,1987-04-14,35
11339,Flemming,Massonet,Senior Engineer,1987-05-09,35
11340,Aris,Bala,Senior Engineer,1991-09-11,31
11343,Susanne,Erez,Senior Engineer,1989-02-27,33
11347,Anneli,Jonsson,Senior Engineer,1986-04-20,36
11349,Yurii,Hammerschmidt,Engineer,1992-06-27,30
11360,Fen,Schach,Senior Staff,1989-01-12,33
11365,Toshimi,Shinomoto,Engineer,1988-04-02,34
11373,Yongmao,Keohane,Senior Staff,1989-10-28,33
11376,Valery,Suomi,Senior Staff,1986-03-14,36
11380,Kenroku,Pelc,Senior Engineer,1988-03-03,34
11385,Shiv,Ullian,Engineer,1988-05-22,34
11386,Alselm,Assaf,Senior Engineer,1987-11-30,35
11393,Junsik,Junot,Senior Engineer,1985-04-30,37
11396,Anneke,Servieres,Engineer,1997-02-04,25
11398,Oscar,Peir,Senior Staff,1986-08-23,36
11401,Huan,Merey,Staff,1995-04-15,27
11404,Bedrich,Borovoy,Technique Leader,1987-03-06,35
11406,Eberhardt,Gini,Senior Staff,1989-03-13,33
11410,Gro,Vendrig,Engineer,1997-07-13,25
11415,Sanjiv,Anido,Engineer,1987-03-03,35
11417,Anneli,Cyne,Technique Leader,1990-05-15,32
11418,Satosi,Cooley,Senior Staff,1991-07-27,31
11420,Tsutomu,Lalonde,Senior Staff,1992-01-31,30
11421,Josyula,Msuda,Senior Engineer,1986-09-02,36
11423,Guangming,Kopetz,Staff,1993-06-14,29
11425,Renee,Crelier,Senior Engineer,1990-08-27,32
11441,Marlo,Aingworth,Senior Staff,1987-03-27,35
11446,Naftali,Narahara,Senior Engineer,1989-02-09,33
11449,Kotesh,Asser,Senior Engineer,1986-08-27,36
11451,Eben,Rajaraman,Senior Engineer,1990-05-20,32
11452,Shigehito,Luby,Senior Staff,1993-08-26,29
11459,Duke,Suomi,Senior Staff,1986-05-03,36
11460,Mana,Maraist,Senior Engineer,1992-03-14,30
11469,Guttorm,Giaccio,Senior Engineer,1988-05-23,34
11474,Gennady,Akazan,Engineer,1990-07-26,32
11476,Manton,Yoshizawa,Staff,1994-01-15,28
11479,Shridhar,Pleszkun,Staff,1998-08-23,24
11503,Nathan,Picht,Senior Engineer,1993-01-25,29
11506,Rance,Picel,Staff,1986-07-01,36
11509,Aleksander,Feldhoffer,Senior Engineer,1987-11-12,35
11513,Otmar,Mahnke,Senior Staff,1986-03-27,36
11515,Ulf,Basawa,Staff,1986-02-27,36
11518,Jinxi,Oxman,Senior Staff,1985-07-03,37
11519,Halsur,Chinen,Senior Staff,1989-11-09,33
11523,Yuguang,Pezzoli,Engineer,1992-12-23,30
11524,Xiadong,Standera,Senior Engineer,1988-09-20,34
11527,Alagu,Boyle,Staff,1988-07-03,34
11528,Zito,Dolinsky,Technique Leader,1987-06-15,35
11531,Radhika,Motley,Technique Leader,1990-02-27,32
11533,Vitaly,Lorch,Technique Leader,1991-08-20,31
11537,DAIDA,Pehl,Senior Staff,1986-07-06,36
11540,Chanjung,Portugali,Senior Engineer,1993-02-09,29
11554,Subhash,Taubenfeld,Staff,1988-10-17,34
11555,Kotesh,Perfilyeva,Senior Staff,1986-10-14,36
11567,Teiji,Mitzlaff,Senior Staff,1988-02-03,34
11568,Martins,Fujisaki,Senior Engineer,1987-07-28,35
11573,Pranas,Hutton,Senior Engineer,1990-02-04,32
11575,Godehard,Plotkin,Engineer,1991-12-19,31
11577,Mayumi,Deyuan,Senior Engineer,1992-09-23,30
11581,Patricio,Rosenbaum,Senior Engineer,1992-11-13,30
11587,Shem,Zambonelli,Senior Engineer,1989-04-24,33
11589,Gina,Plessier,Senior Engineer,1994-02-23,28
11595,Takanari,Kamber,Senior Staff,1992-01-23,30
11596,Yannik,Gunderson,Staff,1993-11-21,29
11602,Somnath,Malabarba,Senior Staff,1993-06-21,29
11603,Herb,Swen,Senior Staff,1985-04-13,37
11606,Perry,Pepe,Senior Staff,1994-01-07,28
11607,Tomokazu,Foong,Engineer,1987-09-12,35
11615,Shem,Isaak,Senior Staff,1988-09-13,34
11616,Zhilian,Brendel,Engineer,1991-01-15,31
11624,Adil,Gammage,Senior Engineer,1988-04-05,34
11628,Fan,Malinowski,Senior Engineer,1988-10-23,34
11640,Valeri,Coorg,Senior Engineer,1987-01-18,35
11641,Chikako,Rothenberg,Senior Engineer,1990-07-01,32
11644,Sanjit,Zaiane,Assistant Engineer,1991-01-28,31
11646,Lobel,Rubsam,Engineer,1992-06-11,30
11647,Magy,Nitsche,Senior Engineer,1988-05-11,34
11649,Shen,Bernardinello,Technique Leader,1991-02-05,31
11660,Gill,Stenning,Senior Staff,1986-11-22,36
11664,Oksana,Brizzi,Senior Staff,1990-09-07,32
11667,Kristian,Marchegay,Senior Staff,1990-09-08,32
11673,Henk,Felder,Technique Leader,1988-10-13,34
11676,Valeri,Ferriere,Engineer,1985-03-16,37
11681,Fumitake,Benzmuller,Senior Engineer,1987-01-21,35
11684,Oksana,Gide,Senior Staff,1986-02-21,36
11690,Domenick,Raczkowsky,Staff,1997-09-23,25
11693,Hideo,Coorg,Senior Engineer,1989-03-13,33
11696,Dante,Rothe,Senior Staff,1985-10-23,37
11713,Danel,Heusch,Senior Engineer,1994-10-04,28
11732,Sanjoy,Ranft,Senior Engineer,1985-08-11,37
11733,Leszek,Sudbeck,Senior Engineer,1992-01-12,30
11735,Amalendu,Picci,Senior Staff,1988-07-14,34
11736,Shugo,Uchoa,Senior Engineer,1990-03-25,32
11737,Martina,Garnier,Assistant Engineer,1995-07-11,27
11746,Koichi,Marrakchi,Senior Staff,1988-11-17,34
11748,Lihong,Massonet,Engineer,1992-12-20,30
11751,Jiafu,Emiris,Senior Staff,1988-11-03,34
11756,Abdelwaheb,Vakili,Engineer,1996-10-17,26
11763,Yuriy,Liesche,Engineer,1996-11-08,26
11764,Sanjay,Anick,Senior Engineer,1988-04-25,34
11765,Zorica,Junet,Senior Staff,1991-07-04,31
11769,Chandrasekaran,Lampe,Senior Staff,1988-02-15,34
11770,Arumugam,Jakobus,Senior Engineer,1992-11-29,30
11772,Gaurav,Penz,Engineer,1987-12-04,35
11774,Aron,Wroclawski,Engineer,1997-12-30,25
11778,Dhritiman,Fontan,Senior Engineer,1992-12-28,30
11779,Shunichi,Thombley,Staff,1990-05-06,32
11791,Gal,Mamelak,Senior Engineer,1994-11-15,28
11797,Chenxi,Thambidurai,Senior Staff,1988-08-30,34
11801,Tommaso,Dayang,Senior Staff,1990-09-05,32
11807,Chriss,Binding,Technique Leader,1992-07-11,30
11810,Amabile,Bhattacharjee,Senior Engineer,1987-03-17,35
11811,Herb,Boissier,Senior Staff,1992-03-28,30
11817,Niranjan,Markovitch,Senior Staff,1986-04-12,36
11822,Sastry,Madeira,Staff,1989-05-26,33
11823,Weiyi,Iacovou,Senior Engineer,1995-10-23,27
11829,Chaosheng,Pettis,Assistant Engineer,1999-02-17,23
11832,Arto,Zlotek,Engineer,1986-10-16,36
11836,Ortrud,Bakhtari,Senior Staff,1989-07-28,33
11841,Elvia,Bugrara,Staff,1992-09-07,30
11842,Moto,Piazza,Senior Staff,1991-12-11,31
11844,Shawna,Demeyer,Senior Engineer,1988-01-27,34
11846,Fai,Perly,Senior Engineer,1993-11-21,29
11853,Zeljko,Kusakabe,Senior Staff,1988-11-17,34
11857,Divier,Farrag,Senior Staff,1986-08-27,36
11862,Alejandra,Deville,Senior Engineer,1993-01-20,29
11864,Pradeep,Kriebel,Staff,1985-11-12,37
11868,Kwee,Demke,Engineer,1989-12-08,33
11869,Fumino,Luca,Engineer,1996-08-12,26
11871,Nalini,Sommen,Senior Engineer,1988-01-23,34
11872,Cheong,Riexinger,Senior Staff,1987-12-06,35
11876,Leszek,Kobuchi,Senior Engineer,1991-06-08,31
11881,Arra,Staelin,Senior Staff,1990-04-08,32
11888,Badri,Azulay,Senior Staff,1994-11-28,28
11894,Mitchel,Validov,Senior Engineer,1988-06-22,34
11896,Shaunak,Benzmuller,Technique Leader,1990-07-04,32
11897,Cordelia,Setlzner,Senior Staff,1987-12-27,35
11906,Hideo,Boguraev,Engineer,1987-03-30,35
11911,Ashish,Mondadori,Senior Engineer,1990-06-05,32
11915,Miomir,Mawatari,Senior Engineer,1987-08-29,35
11917,Jiakeng,VanScheik,Engineer,1995-09-10,27
11926,Leni,Felcyn,Engineer,1998-09-18,24
11931,Gunilla,Chiodo,Senior Staff,1988-10-03,34
11933,Basil,Erman,Senior Engineer,1987-06-13,35
11938,Aruna,Verspoor,Staff,1994-07-15,28
11940,Ult,Anido,Assistant Engineer,1996-11-02,26
11944,Along,Aumann,Senior Engineer,1991-06-14,31
11945,Limsoon,Marakhovsky,Staff,1991-07-22,31
11948,Yahiko,Nergos,Senior Engineer,1990-01-12,32
11949,Martijn,Harbusch,Technique Leader,1985-03-11,37
11951,Bernt,Haumacher,Senior Engineer,1989-10-14,33
11965,Arup,Morrey,Engineer,1990-03-20,32
11972,Sibyl,Beausoleil,Senior Staff,1990-10-07,32
